timestamp,positive,negative
2014/6/12:16,0.157057941,-0.329079528
2014/6/12:17,0.159722589,-0.351797666
2014/6/12:18,0.149286883,-0.348767869
2014/6/12:19,0.160030602,-0.34695174
2014/6/12:20,0.156350321,-0.353481837
2014/6/12:21,0.153690957,-0.370389127
2014/6/12:22,0.156090015,-0.350675321
2014/6/12:23,0.217719672,-0.341370485
2014/6/13:0,0.163184426,-0.335432508
2014/6/13:1,0.158641679,-0.347997868
2014/6/13:2,0.162732447,-0.360656625
2014/6/13:3,0.158196385,-0.345334183
2014/6/13:4,0.156689521,-0.339741371
